%Automatically built ARFF-file
%Feature sets: ['max_sentiment', 'min_sentiment', 'avg_sentiment_no_neutral', 'baseline', 'avg_sentiment_no_neutral_unigrams']
@RELATION sentiment

@ATTRIBUTE avg_sentiment_no_neutral NUMERIC
@ATTRIBUTE avg_sentiment_no_neutral_unigrams NUMERIC
@ATTRIBUTE baseline NUMERIC
@ATTRIBUTE max_sentiment NUMERIC
@ATTRIBUTE min_sentiment NUMERIC
@ATTRIBUTE sentiment {"-", "+"}

@DATA
0.63889,0.6875,0.54513875,0.63889,0.5,"+"
?,?,0.509722,0.5,0.5,"+"
0.73611,0.75926,0.537698571429,0.73611,0.5,"+"
0.77778,0.64352,0.537879090909,0.77778,0.5,"+"
0.38889,0.79167,0.554013333333,0.5,0.38889,"+"
0.83333,0.625,0.5,0.83333,0.5,"+"
0.80556,0.669446,0.529694137931,0.80556,0.5,"+"
0.79167,0.586805,0.520299230769,0.79167,0.5,"+"
?,0.493055,0.496376956522,0.55556,0.5,"-"
0.63889,0.72222,0.555555,0.63889,0.5,"+"
0.65278,0.805555,0.532407222222,0.65278,0.5,"+"
0.93056,0.777778,0.5442709375,0.93056,0.5,"+"
0.73611,0.715275,0.533119230769,0.73611,0.5,"+"
0.33333,0.33889,0.496980869565,0.5,0.33333,"+"
0.80556,0.77778,0.53426,0.80556,0.5,"+"
?,0.412036666667,0.487103571429,0.5,0.5,"+"
0.66667,0.76389,0.527778095238,0.66667,0.5,"+"
0.69444,0.52778,0.492283333333,0.69444,0.5,"+"
?,0.671296666667,0.549603571429,0.5,0.5,"+"
?,0.6458325,0.5300004,0.5,0.5,"+"
0.72222,0.797222,0.561828387097,0.72222,0.5,"+"
?,0.63889,0.516975,0.5,0.5,"+"
?,0.729165,0.535185333333,0.5,0.5,"+"
?,0.381945,0.487180769231,0.56944,0.5,"+"
0.875,0.63889,0.535714285714,0.875,0.5,"+"
0.27778,0.657406666667,0.536764705882,0.5,0.27778,"+"
0.72222,0.555555,0.516666333333,0.72222,0.5,"+"
?,0.569445,0.527778888889,0.51389,0.5,"+"
?,0.72685,0.54600625,0.5,0.5,"+"
